Source,Target,Type,Id,Label,Value
2,74,Undirected,0,1,0.7240193718824698
2,52,Undirected,1,1,0.6902208334120494
2,73,Undirected,2,1,0.6152635087481706
74,52,Undirected,3,1,0.613604142929511
52,97,Undirected,4,1,0.5720366112096498
73,132,Undirected,5,1,0.6071969244310444
73,49,Undirected,6,1,0.5379327023733111
163,4,Undirected,7,1,0.6832471943455241
163,48,Undirected,8,1,0.6183740240055219
100,62,Undirected,9,1,0.630581212030445
4,61,Undirected,10,1,0.7672131859488152
4,46,Undirected,11,1,0.7576133174211112
4,48,Undirected,12,1,0.7064412062173171
61,46,Undirected,13,1,0.7439402845839522
61,83,Undirected,14,1,0.6377537161012474
46,15,Undirected,15,1,0.671595570361958
46,83,Undirected,16,1,0.7266264256875675
46,48,Undirected,17,1,0.6766548957595098
46,62,Undirected,18,1,0.6712237403324719
48,15,Undirected,19,1,0.62421493953464
48,132,Undirected,20,1,0.7028844340175195
6,26,Undirected,21,1,0.6196846071235531
6,105,Undirected,22,1,0.6192367452212523
26,9,Undirected,23,1,0.681950151477414
26,19,Undirected,24,1,0.7372161178456982
26,45,Undirected,25,1,0.7132010350225777
26,105,Undirected,26,1,0.6970718855197471
26,66,Undirected,27,1,0.6750318751848352
26,34,Undirected,28,1,0.6587065028307475
105,12,Undirected,29,1,0.644012171505316
105,60,Undirected,30,1,0.6944628643900066
105,85,Undirected,31,1,0.6286700522398146
105,126,Undirected,32,1,0.7072896021443593
9,66,Undirected,33,1,0.8125139066700873
9,34,Undirected,34,1,0.6925307671251868
9,19,Undirected,35,1,0.6564497219107304
9,59,Undirected,36,1,0.621658749174028
9,175,Undirected,37,1,0.5586014079699962
85,59,Undirected,38,1,0.6361468268383861
85,78,Undirected,39,1,0.6629654164378742
12,126,Undirected,40,1,0.715223431673019
12,118,Undirected,41,1,0.6740373728137488
8,59,Undirected,42,1,0.6710474599649887
8,123,Undirected,43,1,0.5136940656820479
59,34,Undirected,44,1,0.7482715509204987
34,19,Undirected,45,1,0.7707798209246677
34,66,Undirected,46,1,0.6523109537794769
34,78,Undirected,47,1,0.6137340309472947
123,117,Undirected,48,1,0.6788857206273682
123,83,Undirected,49,1,0.597563746731387
66,19,Undirected,50,1,0.7348611124557668
19,45,Undirected,51,1,0.7592857194968662
10,82,Undirected,52,1,0.28156274287432825
10,38,Undirected,53,1,0.5260556367555904
38,11,Undirected,54,1,0.6132033444361172
38,171,Undirected,55,1,0.4977239579411785
171,156,Undirected,56,1,0.5545566136626857
54,49,Undirected,57,1,0.644991643767411
120,101,Undirected,58,1,0.3255227528403216
120,156,Undirected,59,1,0.45244822960471365
126,87,Undirected,60,1,0.6566926609770455
126,118,Undirected,61,1,0.7080875410315597
118,122,Undirected,62,1,0.5973572547629662
122,13,Undirected,63,1,0.6304906065618551
122,156,Undirected,64,1,0.5361123663481009
122,94,Undirected,65,1,0.5779118490101758
87,20,Undirected,66,1,0.5758257504604773
94,27,Undirected,67,1,0.640299489364248
15,79,Undirected,68,1,0.6692724390607404
79,132,Undirected,69,1,0.6661017914922691
83,62,Undirected,70,1,0.6724548569517057
45,60,Undirected,71,1,0.6116152616971486
50,62,Undirected,72,1,0.6101864570775483
117,56,Undirected,73,1,0.5295852525740761
